,Gompertz,Logistic,Richards,Von-Bert,MMF
839,3223.037519,3181.374289,-8.43E-262,3241.675483,3326.496021
840,3224.368506,3182.168885,-8.43E-262,3243.254052,3329.112521
841,3225.694542,3182.958516,-8.43E-262,3244.828011,3331.726861
842,3227.015643,3183.743209,-8.43E-262,3246.39737,3334.339044
843,3228.331825,3184.522993,-8.43E-262,3247.962141,3336.949072
844,3229.643105,3185.297897,-8.43E-262,3249.522337,3339.55695
845,3230.949498,3186.067948,-8.43E-262,3251.077968,3342.16268
846,3232.251022,3186.833174,-8.43E-262,3252.629047,3344.766265
847,3233.54769,3187.593604,-8.43E-262,3254.175586,3347.367707
848,3234.839521,3188.349265,-8.43E-262,3255.717594,3349.967011
849,3236.126528,3189.100184,-8.43E-262,3257.255086,3352.564179
850,3237.408729,3189.84639,-8.43E-262,3258.788071,3355.159214
851,3238.68614,3190.587909,-8.43E-262,3260.316562,3357.752118
852,3239.958775,3191.324768,-8.43E-262,3261.84057,3360.342896
853,3241.226651,3192.056995,-8.43E-262,3263.360107,3362.931549
854,3242.489784,3192.784616,-8.43E-262,3264.875184,3365.518081
855,3243.74819,3193.507659,-8.43E-262,3266.385812,3368.102495
856,3245.001883,3194.22615,-8.43E-262,3267.892004,3370.684793
857,3246.25088,3194.940116,-8.43E-262,3269.39377,3373.264979
858,3247.495196,3195.649582,-8.43E-262,3270.891122,3375.843056
859,3248.734846,3196.354576,-8.43E-262,3272.384072,3378.419026
860,3249.969848,3197.055124,-8.43E-262,3273.872631,3380.992892
861,3251.200215,3197.751251,-8.43E-262,3275.356809,3383.564658
862,3252.425963,3198.442983,-8.43E-262,3276.83662,3386.134326
863,3253.647109,3199.130347,-8.43E-262,3278.312073,3388.701899
864,3254.863666,3199.813368,-8.43E-262,3279.783181,3391.267379
865,3256.075651,3200.492071,-8.43E-262,3281.249955,3393.830771
866,3257.283079,3201.166482,-8.43E-262,3282.712405,3396.392076
867,3258.485965,3201.836626,-8.43E-262,3284.170543,3398.951298
868,3259.684324,3202.502529,-8.43E-262,3285.624381,3401.50844
869,3260.878172,3203.164215,-8.43E-262,3287.07393,3404.063503
870,3262.067524,3203.821709,-8.43E-262,3288.5192,3406.616492
871,3263.252395,3204.475037,-8.43E-262,3289.960204,3409.167409
872,3264.432799,3205.124222,-8.43E-262,3291.396951,3411.716256
873,3265.608753,3205.76929,-8.43E-262,3292.829454,3414.263037
874,3266.780271,3206.410264,-8.43E-262,3294.257724,3416.807755
875,3267.947368,3207.04717,-8.43E-262,3295.681771,3419.350412
876,3269.11006,3207.68003,-8.43E-262,3297.101607,3421.891011
877,3270.26836,3208.30887,-8.43E-262,3298.517243,3424.429556
878,3271.422284,3208.933713,-8.43E-262,3299.928689,3426.966048
879,3272.571848,3209.554584,-8.43E-262,3301.335958,3429.50049
880,3273.717064,3210.171505,-8.43E-262,3302.739059,3432.032886
881,3274.85795,3210.7845,-8.43E-262,3304.138004,3434.563238
