,Gompertz,Logistic,Richards,Von-Bert,MMF
681,132.0562689,100.052247,3071,144.9236187,187.2612772
682,135.7218854,104.0328409,3077,148.4597367,190.2606065
683,141.3953005,110.0243343,3085,154.0024715,195.2626696
684,140.0764957,109.0266848,3086,152.5518102,193.2674622
685,143.7654525,113.0398499,3092,156.1077399,196.27498
686,141.4621524,111.0637872,3092,153.6702476,193.2852186
687,139.1665769,109.0984542,3092,151.2393203,190.2981738
688,139.8787075,110.1438084,3095,151.814945,190.3138412
689,145.5985256,116.1998072,3103,157.3971089,195.3322166
690,150.3260126,121.2664081,3110,161.9857988,199.3532956
691,154.06115,125.3435684,3116,165.5810019,202.377074
692,152.8039191,124.4312455,3117,164.1827051,200.4035475
693,150.5543012,122.5293969,3117,161.7908953,197.4327119
694,155.3122778,127.6379799,3124,166.4055597,201.464563
695,153.0778303,125.7569518,3124,164.0266851,198.4990964
696,150.8509398,123.88627,3124,161.6542585,195.5363081
697,150.6315879,124.0258919,3126,161.2882669,194.5761937
698,155.4197557,129.1757748,3133,165.9286973,198.6187492
699,154.2154246,128.335876,3134,164.5755366,196.6639702
700,152.0185759,126.506153,3134,162.2287718,193.7118527
701,149.8291908,124.686563,3134,159.8883897,190.7623924
702,148.6472506,123.8770634,3135,158.5543774,188.8155853
703,146.4727367,122.0776116,3135,156.2267218,185.8714271
704,145.3056301,121.2881651,3136,154.9054098,183.9299137
705,143.1459123,119.5086812,3136,152.5904284,180.991041
706,140.9935643,117.7391174,3136,150.2817645,178.0548049
707,138.8485675,115.979431,3136,147.9794049,175.1212013
708,136.7109031,114.2295797,3136,145.6833367,172.190226
709,137.5805523,115.4895209,3139,146.3935467,172.2618751
710,135.4574963,113.7592121,3139,144.1100219,169.3361443
711,133.3417163,112.0386109,3139,141.8327491,166.4130297
712,131.2331936,110.3276749,3139,139.5617153,163.4925272
713,129.1319093,108.6263618,3139,137.2969075,160.5746327
714,127.0378447,106.9346291,3139,135.0383124,157.6593423
715,124.9509809,105.2524346,3139,132.785917,154.7466518
716,124.8712992,105.5797361,3141,132.5397083,153.8365573
717,122.7987807,103.9164914,3141,130.2996731,150.9290547
718,120.7334067,102.2626582,3141,128.0657984,148.0241401
719,118.6751583,100.6181945,3141,125.838071,145.1218094
720,116.6240167,98.98305819,3141,123.6164779,142.2220588
721,114.5799632,97.35720728,3141,121.401006,139.3248841
722,113.542979,96.74059979,3142,120.1916421,137.4302815
723,111.5130452,95.13319383,3142,117.9883733,134.5382471
724,109.490143,93.53494754,3142,115.7911864,131.6487767
725,107.4742537,91.94581913,3142,113.6000683,128.7618666
726,105.4653585,90.36576687,3142,111.4150059,125.8775129
727,103.4634387,88.79474909,3142,109.2359862,122.9957115
728,101.4684753,87.23272419,3142,107.0629961,120.1164586
729,99.48044966,85.67965062,3142,104.8960226,117.2397502
730,97.49934301,84.13548692,3142,102.7350524,114.3655826
731,95.52513659,82.60019168,3142,100.5800727,111.4939519
732,93.55781162,81.07372357,3142,98.43107021,108.6248541
